Emotion,Text
58,sadness,I very rarely am in desperate need of someone to talk to. Tonight is one of those nights. Everyone is sleeping. I'm at a loss. 
59,sadness,When I was a Sr. in HS. one of the class counselors died of hepatitis. She was very sensitive. She knew my shyness and drew me out to improve myself image. I missed her funeral - so I could not publically grieve. My parents didn't understand.
60,surprise,Good Morning  What Do You Have In Store For Me Today?!?!... #EnjoyTheDay
61,neutral," My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . "
62,joy, I am feeling awesome .
63,joy,@TheBodyShopUK brings me - I've just bought all my Christmas presents and I didn't have to trawl loads of shops! :)
64,surprise,I almost forgot my hair was red until I looked in the mirror 
65,fear,When I heard that my father had found a letter from my boyfriend and he was calling me to talk about it.
66,fear,results from seeing ourselves walk into a situation w/o the LORD. FAITH is realizing that HE gets there b4 we do.
67,fear,She shot him a horrified look . 
68,neutral," Well , I didn't think so at first . But as we started talking , I found him extremely funny and witty . I couldn't stop laughing at his jokes ! And we have so much in common . We like the same team , music , and most amazingly , we both love Chinese food ! I have the feeling that we are going to be great friends . "
69,fear,Not applicable to myself.
70,joy,I just shit my pants. Pure 100% gravy. 
71,joy,"For once in his life , Leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition . "
72,fear,Two years ago I saw a film on the TV. Even now it makes me afraid.
73,joy,Class then jamming out my last paper of the quarter.  No reason to celebrate though. Studying will begin right after. 
74,sadness,"NOOOOOO, no pongan super torpe a las 9 de la mañana, entendemos que nadie lo ve, pero yo sí! y no me voy a levantar para verlo "
75,fear,Seeing a stray dog run right pass you on Morehouse campus.. 
76,neutral, Once in a while . 
77,anger,Side effect of not smoking reefer. 
78,fear,When I was 12 years old I frequently was pursued by others and got sound thrashes.
79,fear,“@FrankyFade: The team is hot  @andrealandis @iammynority @FRISCOLOPEZ @iamthefabian” yes sir
80,fear,"Dad , I'm scared . "
81,joy,I can't wait to just sleep in tomorrow! I must study tonight and tomorrow and the next night oh and 3 essays due!
82,anger,is a juvenile emotion that even the most simple minded creature can express
83,anger,"Suppressing her annoyance at being called "" Little Sara "" , she replied that all was well . "
84,joy,Now time to unpack and finish some homework 
85,surprise,Stopped today for gas in a small town to my an attendant came to tell me &quot
86,surprise,Can't wait for @siobhanshannonx to open her christmas prezzie #christmas
87,surprise,Decorating the entire house with christmas cheer for my mommy. 
88,anger,Sly was left feeling absolutely livid . 
89,surprise,Iemand nog surprise idee voor een vrouw? 
90,disgust,"@wt2themax1 I'm sorry my blanket isn't comfortable enough for you, that kid isn't #hehasfeelingstoo so what if he eats his scabs..."
91,anger,I had left a student newspaper of the Chinese university on the table of the library.  It had disappeared when I came back.
92,joy,"At a choral concert I appeared as a solist. The concert5 was very good, I forgot all the hard work that had been done before. There remained only an undescribable joy and a feeling of warmth, security etc."
93,fear,@TShavonne Girl a picture of that book is in my Twitter pics lol. Nah i haven't used it...or rather tried it lol 
94,surprise,The trouble comes when you realise you've gone from watching reruns to living one. #oh
95,sadness,"He glanced up , saw Auguste 's anguished eyes , and thought he understood . "
96,joy,The world can't give you only happiness. One last a lot longer. #GoFigure
97,anger,He dipped the cotton wool in the water and dabbed at the livid puffy eyes . 
98,sadness,"` I am sad we have not been afforded the same welcome given to the Beirut hostages , "" he told a deeply moved audience at the AGM last month . "
99,joy,Oh early morning preachings by my father 
100,joy,If you are robbed of during tribulation it is because u hav not entered into the means He has provided for Joy #prayer Communion w God
101,surprise,@Ally1kinobi thought I'd stop by and say I CAN SPEND CHRISTMAS HOLIDAYS WITH YOU NOW AT THE LAKE. Miss you! 
102,joy,"Good morning , Jim ! "
103,fear,Not afraid of tomorrow for I saw yesterday and I love today #less
104,anger, They soud like the neighbours from hell ! 
105,joy,If chris Paul sum how goes to the clippers. Idk I'll lose it 
106,surprise,chocomousse vergt 175 ml slagroom. dat heb ik dus niet in huis - en je moet het met de hand kloppen. niet met een mixer. kansloos.
107,sadness,"The time I lost a badminton match, that I should have won at the Zambia closed badminton championships."
108,joy,"The advertisements appeared in Novoye Russkoye at the weekend , causing a buzz of excitement in the Soviet expatriate enclave of Brighton Beach , also known as Little Odessa . "
109,fear,My and #anxiety is lifted. I think I'm going to pass #statistics and maybe even do half decent. Got a 90% on the third #exam
110,joy,Thrilled to reunite with my best friend today! It's raining though and we have to find our way to a theater for a dance show downtown. 
111,sadness," Not from this brand , I'm afraid . "
112,fear,I can not wait till factor I LOVE THAT SHOW!!!!!! Missed watching it :-)
113,joy,"Study all day tomorrow, most of the day Saturday and Sunday. "
114,neutral, So ? 
115,sadness,Just saw an empty Summer Shandy box next to my Aunt's fridge. But no Liene to be found 
116,fear,Nearly a year later I'm driving on freeways at rush hour without any fear!!!  I conquered my with #confidence! Feels great!
117,sadness,"Her voice shook , her face was white with anguish . "
118,sadness,"going loner to target, panache and hob lob..."
119,joy,"This would normally push up her heart rate but with her pulse already racing due to the alcohol , dancing and general party excitement the increase is not as noticeable as normal . "
120,anger,"His teachers were suspicious of his popularity , annoyed by his lack of interest in academic work and infuriated that he could still achieve high marks in examinations . "
121,anger,"When they broke the artistic work of several weeks.  Changes were made and it was broken without permission, they had no right to do this."
122,surprise,Net halfuur bezig geweest bij de kraan om de lijm erg te krijgen  #Dinnetjes
123,joy,"Took a nap for a few hours, now watching Christmas movies  "
124,sadness,"For the owner , it can mean heartbreak at the loss of a family pet . "
125,fear,"Tiens, y a de la taurine dans les croquettes Friskies chat d'intérieur. #miaou"
126,anger, It is impossible . You cheated on me . 
127,sadness,"No afternoon nap for me, burning my episodes into DVD to prepare for Stu the Hard Drive's reformat. :("
128,joy,ill be working from 9pm-6am on black Friday 
129,neutral, Nothing . 
130,fear,I was at home and we were sleeping when we heard some robbers breaking into our house.
131,sadness,@MWScripts WANT ENGLISH BULLDOG PUPPY.   
132,anger,I will be the most disappointed if they actually consider Taylor Swift for the role of Eponine in the movie version of Les Mis.... 
133,joy,@sabambury I wish everyone saw Church as a highlight of Christmas! 
134,disgust,"It linked the poor performance with the exodus to the West of more than 330,000 East Germans disgruntled with Communism . "
135,sadness,In an expression of community sympathy many local children in South Ronaldsay made and sent cards to the four devastated mothers . 
136,sadness,3:30am my guy friend was gonna come up to my window. and I fell asleep  before he came. :( 
137,sadness,"2   &amp; = make pleasant, wonderful #memories right now! &#xA;#recovery #survivors #stopabuse #ptsd #livefree"
138,joy,"Some people bring joy wherever they go, and some people bring joy whenever they go.— Mark Twain   "
139,joy,yaay! my brother said he'll play badminton with me tomorrow :D 
140,neutral,You'd better prepare for the examination . 
141,joy,Going to a concert.
142,fear,"There was public disquiet , questions in the Commons and an enquiry ordered into Jeffrey 's whereabouts . "
143,anger,"I was informed by my flatmate that, when we'd moved into our flat, she'd expected us to buy our food separetely - this event actually happened some 5 months after our sharing began. Prior to this, she had said nothing."
144,fear,"«@RevRunWisdom not afraid of tomorrow, for I have seen yesterday and I love today #less»"
145,anger,"Don't get the impression that you arouse my anger. You see, one can only be angry with those he respects. ~Richard M. Nixon "
146,joy," We do many things . In the morning , we go swimming and boating . In the afternoon , we play basketball or tennis . We sit around a camp fire at night.We sing or tell stories . "
147,joy,Arabic coffee what can I do to make you happy. 
148,fear,"I feel afraid of the way a great friend looks at me, and also a little afraid of the directions that it's going."
149,surprise,"Met z'n 4en Sint gekeken, nu lekker slapen, en morgen surprise weggeven en ontvangen in Lopik!   "
150,joy,Morning tweeps.. Hope you guys have a great filled with and #happyness
151,joy,When I received the first year results as the first year had involved a lot of work and I was very pleased when I got the results.
152,sadness,Just got back from my last history class until next semestre. 
153,surprise,"&quot;I'm gonna love you, Till the stars fall from the sky for you and I&quot;  "
154,anger,"A terrible , furious , impotent anger filled him , making him want to strike out , to shout and scream . "
155,sadness,Another day spent in my bed. I really should get a life. 
156,fear,Concered my of hights today! Went all the way to the top of climbing! Sooo proud and beat enrique on quad biking!:D love my girls x
157,anger,When I was a soldier I quarrelled with my commander and may be in revenge for this he detailed me on duty two successive nights. Naturally he checked me up on the second night and found me asleep for which he sent me to the cells.
158,surprise,Getting ready for a baby shower at work. Here's hoping no one at work is following me on twitter hahaha Surprise!!
159,neutral, Not really ! 
160,joy,Lady A concert with @KDClapp06 by some sketchy people. 
161,neutral, To the beach 
162,sadness,I want you and Sheila to know how very much I appreciate the kindness shown to me in my earlier mood of despondency . 
163,neutral, Everyone from school . 
164,anger," No , I just check my weight , I'm getting fatter . "
165,fear,Dnt believe the lies look me in my eyes plz dnt b scared of me..  i miss the deep #Drake
166,joy,When I passed my form three exams.
167,anger,I laughed -- I did n't feel offended . 
168,joy,"my throat is on fire.. guess i'll be going to the doctor tomorrow. in other news, tonight was a successful night(: praise God !"
169,neutral," Yes , there are something good and informative . I think that many people underestimate the value of TV in education . "
170,fear,"is strong. #Darkness is strong. A #Soul is a pure bright, brave beam of light."
171,fear," Steven , I ... "
172,joy,On meeting an old friend of mine.
173,joy,"No matter how old i am, anytime i have a leaf blower i will air blast the closest person to me. Brings me "
174,fear,@MarkParkinson80 now that man is a proper genius 
175,fear,When I thought that I had failed the examination.
176,surprise,Even though I'm mean af to this person I'm still buying them something.... I guess I should them
177,joy,Since I passed the DMCT last year I get to spend my math hour doing absolutely nothing in the library.. 
178,sadness,"When I became conscious that men don't wnat anything they don't have a goal. They have: sex, but this isn't important."
179,surprise,@nickensimontwit Hoe kan je gemakkelijk een gitaar namaken van karton? 
180,joy," Well , it's a special day . They say if you survive the first year , the rest is smooth sailing . "
181,surprise,My aunt is coming from  for a visit during   What a nice that will be!!
182,sadness,They all seem terribly sad . 
183,sadness,"During the days that followed Brackenbury 's hasty departure , Edward 's despondency increased . "
184,surprise,"@TheyCallMeTiny2 ransacked meadows/brewhouse last night for all it was worth,  opened up the wallet though, "
185,anger,My father promised me a bicycle for my birthday. Just before my birthday he forgot he promised this to me.
186,anger,Auguste shot him an indignant glance . 
187,fear,of losing my spark haunts me everyday
188,anger,"I worked with several classmates on a project.  I was very anxious about the project while my partners showed no concern  and when we had meetings on the project my classmates  did not pay any attention.  Some of them read books while the others argued on irrelevant questions.  The meeting would go on for two hours without the main theme being discussed.  We wasted time and could not reach a compromise.  My classmates avoided doing the work and the responsibilities, they seemed to value other projects more than this one."
189,fear,F.E.A.R. = False Evidence Appearing Real   
190,joy,When my son returned from mountaineering - healthy in body and soul.
191,fear,water level rising near my home  #Flooding
192,joy,On my way to clean the mess that was made at Urban today. 
193,anger,When my kid brother broke my reading spectacles.
194,anger," Really , Mary , you ’ re horrible . "
195,fear,When I close my eyes I wont wake up! !  #truth
196,neutral,What ’ s up ? You don ’ t look too good . 
197,disgust,ewww she got that nasty ass default like she cute 
198,joy,So now I am doomed to forget something. I just have that shitty luck. 
199,fear,"america is the new north korea, china, germany and russia. we're the military controlled, self-spying, censoring paranoid antagonists. "
200,sadness,Then the toot of a trumpet and the clown with the enormous sorrowful eyes was coming at her in her ring-side seat and she wanted to run away . 
201,joy,More lifeguard training tomorrow evening. 
202,sadness,When an earlier friend was spreading negative rumours about me.
203,anger,The newcomers feel cold-shouldered by the local population on occasions and become resentful of their almost tribal clannishness . 
204,disgust,I understand the mood but if some of them are disgruntled they are entitled to call an EGM . 
205,joy," Seein' folks,  overcome limitations, by seeing that THEY can be who they DREAM! That their capacity for is the compass!"
206,joy,my birthday and christmas are right around the corner and i have no idea what i want 
207,sadness,Its funny how people who follow you eventually unfollow you only because you never followed them back. 
208,surprise,aww one of my mom's old special ed students from like 6 years ago came and visited her!! soo cute! that just made her day :)
209,sadness,"` I used to be sad and pathetic , but I 'm not so miserable any more . "
210,joy,Bought my first xmas gifts today!! So full of I love christmas time!!
211,anger,"` What did you mean , Rachel ? "" her mother asked slowly , ignoring her husband 's indignant look . "
212,joy,"As I type, I get texts... baby is fine (moving &amp; heart beating) Since she is O-, they've given a RH shot, to be safe. THE BABY IS FINE! "
213,joy,thanksgiving: spending the night at the emegency room. 
214,surprise,@k_tray so your harry potter dressed professor hates sex... 
215,sadness,my mom asked me if cole caught a deer this year... mom you kill deer...
216,joy,Today has been so off. Time to work in crutches tomorrow 
217,joy,(MIRACLE SCRIPTURE 700 B.C.) Behold the virgin shall conceive &amp
218,fear, Talks Going Well? Most Pissed Off with  Play Acting and Playing Dangerous Games #FLASHMEN? #skynews #skypapers
219,fear,"One morning of hard graft left, then 8 days of sun, food and bevy. just need to get through the plane journey, scary shit that like. "
220,anger,When I saw my brother being attacked and I could not do anything.
221,fear,"He 's concerned what will happen to me . "" "
222,sadness,I'm so happy  @Harley_Cope5 never says she's thankful for me to be one of her best friends. 
223,sadness,When he wondered this he felt a deep sadness . 
224,fear,"Good day at the gym, bringin that  and that  but leavin that "
225,joy,@Mrctn615 we wear the crown cuz we deserve it! 
226,sadness,Andare a fare shopping e tornare a mani vuote a casa... 
227,neutral," Don't be so irritable . I just don't understand the program , that's all . "
228,joy,"On holiday, seeing the lanscape in Girona."
229,anger,Pretty sure Kiss only ever play about 3 different songs. And they're TGIF remix pisses me off. And they say 'Gwetta' and 'Agwilera'. 
230,joy,Minute shards of glass slashed across Rohmer 's ecstatic face . 
231,disgust,&quot
232,anger, Waiter ! 
233,fear,Intelligence puts man on the throne. Faith puts God there.     
234,joy,Getting a part-time job.
235,anger," I believe that was a wedding present to both of us , Joanne . And you hardly ever use it ! "
236,anger,Nothing would satisfy me more then to see the light leave his eyes and to know he no longer draws breath 
237,anger,"Hoskyns , who only had another year to live , was angry at his university . "
238,surprise,"@mylan4 ik wou jou heel persoonlijk benoemen, dus die is nog in de maak! #Present #wachtmer"
239,fear,of losing the people I love
240,fear,The passengers looked horrified . 
241,joy,Is it just me or does anyone else out there love the smell of their fella post  
242,joy,About to bomb this physics test 
243,joy,good morning world! 
244,sadness,"A merciful wave was closing over it , healing her despair . "
245,sadness,Relative's death.
246,fear,"☁☾ &quot;FEAR Can Keep Us Up All Night Long, but... F A I T H Makes One Fine Pillow&quot; ~unk  "
247,joy,Eating my first candy cane of the season 
248,sadness,"SHE was once considered one of the world 's most beautiful women , but yesterday every line etched on Britt Ekland 's face told a story of personal anguish . "
249,fear,Before giving a seminar to a rather large audience.
250,sadness,I wish I was in london so I could go to trafalgar square @Louis_Tomlinson I wish I could meet you all 
251,sadness, yes . It seems she can never accept a childless marriage . We had a fight last night . 
252,disgust,smh im really sad. the only basketball i have to look forward too is march madness????  
253,joy,You gotta put some dish detergent in the tub so you can get dat bubble action
254,joy,work then working out then homework  
255,anger,"Brazil , for example , was miffed that the summit was n't scheduled for a date after inauguration of its new president next month ."
256,fear,"When my son fell off the cot at the age of 5 months, I became very nervous and thought that it would cause defects in his head.  "
257,joy,So excited to party party tomorrow night with one of my besties miss Emma Rose :) xxxx 
258,fear,I saw the frightened horses on the edge of a steep drop . 
259,fear,"I was physically assaulted and sexually abused about a year ago. Just the feeling that I might not get away intact, or even alive, produced fear."
260,sadness,After the fact that made me ashamed I felt sadness.
261,sadness,"lol can people people stop with the Arashi's FNS mic situation, ok we get the point. anyways, I still can't find TMR's perfs "
262,sadness,@BanjiGirl I don't even know whats going on. Things have folded. 
263,joy,"Pretty excited!  Orgelbau, Dillingen, was chosen (unanimously) to build the new organ for my church! "
264,fear,"When I was feeding a premature baby (7 months), the baby chocked. This was when I was working in children's ward I thought I had killed the baby."
265,fear,You're the reason to a lot of my devotion. @Drake
266,disgust,Holy shit I just weighed myself for the first time since before college..  I put on 13 pounds in a semester.. Pure in myself
267,sadness,At my brothers friends house doing nothing. This is what happens when I come back home 
268,sadness, Totally not . Perhaps it's about our marriage . 
269,neutral, Who won ? 
270,sadness,School shootings need to stop.  I know there is no quick fix to this. But schools are supposed to be safe. 
271,anger,"@RXKitten I did and they didn't really intrigue me.  Plus, the campaign ending was anti-climatic to the nth degree.  Uninstall game.  "
272,surprise,"Today: eat, work on paper, work on lab, work on paper, finish lab, eat, finish paper.   "
273,sadness,Sometimes i do wish i had black hair..it is much eaiser to find hair weave  . :(
274,sadness,My dad made a campfire. We have chocolate and grahmcrackers but no marshmallows...what even is this. &lt
275,joy,"So I'm sewing, walk downstairs to make a pot of coffee...and find Christmas decorating in full swing!!! Gotta love daughters! "
276,surprise,"ok..dus de gouden verf van de action is stiekem zilver..goed om te weten, maar vertel het voortaan van tevoren.  "
277,fear,"` South Africa must be worried how easily we did get through , and close to their line , because they know that Will Carling and Jeremy Guscott are amongst the quickest in the world . "
278,sadness,Having some massive Busted sesh! Why the fuck did they ever break up! 
279,fear,On the edge of slipping and winning... 
280,surprise,Too fresh..came home to a new flat screen TV 
281,neutral, Why ? 
282,anger,There was really no reason why Star should be cross . 
283,surprise,Car was just k9 searched. What the hell? Didn't find anything! 
284,sadness,"` I am sad we have not been afforded the same welcome given to the Beirut hostages , "" he told a deeply moved audience at the AGM last month . "
285,joy,"Last course, when I passed with good marks three subjects which I had previously failed."
286,fear,"Goodbye, Farewell, So Long.... "
287,fear, YOU A FUCK NIGGA
288,joy,"Hate trains just ran for one and missed it by a second, saw it drive away, now half hour wait for the next one oh "
289,anger,"No lights, no WiFi, no fucking way of making my dinner. "
290,anger,"She turned to Fran , faint annoyance crossing her face . "
291,sadness, pour moi car je n'ai pas beaucoup de followers :'(   
292,neutral, I won ’ t damage it . 
293,joy," Wow sounds interesting ! Excuse me if I am being a bit nosy but , how old are you ? "
294,fear,Don't you turn a blind eye! .. Change what's been programmed inside!!  
295,sadness,Just realized that I'm allergic to my shampoo!! Great! 
296,sadness,its prolly gonna happen in the morning too &gt
297,disgust,"I am sickened to now learn that the Government has acquiesced to the other EC leaders on this issue at the Edinburgh Summit and that , for the sake of subsidiarity , this directive has been dropped . "
298,anger,"I experience this emotion quite often but the day I was most angry was the day I got pulled up for something I had not done.  It happened during my school days, I had not spoken a word in class but the monitor had written my name on the board.  So I had a remark in my callender which I had to get signed by my parents.  This remark resulted in me being spanked."
299,disgust,I gag in myself wenever i hear my parents say &quot
300,sadness,"As he told Barbara afterwards , he had never felt more depressed . "
301,surprise,Pizza Hut just delivered my pizza 20 minutes early AND it is one of the top five best pizzas I've ever had from there.  
302,anger,"Oh , the food here really is bad . My soup was cold and meat , ur ... it was like leather . "
303,sadness,the moment you realize you've lost the one person you always needed most but wouldn't admit it 
304,joy,"Listening to Eternal by Joy Division. Sad, mournful and beautiful all mixed together. division #Ian Curtis"
305,fear,"Je me fais stalker sur  par un mec de l'âge de mon père, je l'ai refusé en ami, mais il like tout ce que je fais en public "
306,joy,"Anyway, time to settle in for a nice plane ride and lots of Russia I reading "
307,sadness,"@mariiiiahhx3 my mo said im not allowed to get picked up from school tomorrow , because i didnt go today ): "
308,sadness,@CaitlynXJesus8 love you to caitlyn.. So sad I have to miss switch I might die 
309,joy,Homework for the rest of the night.....oh lol
310,joy,solid workout at indoor!! Time to do hw half asleep!! #tired
311,disgust,Its not  anymore. Take care of your wiley body hair. You shouldn't have been doing that shit in the first place. 
312,anger,Wow I haven't had this rush of adrenalin in a while. 
313,fear,@gilbhas lo gak takut pembunuh! Yang lo takutin adalah hobinya dia kalo lagi bete.. 
314,joy,When my brother gave me a watch.
315,neutral, OK . 
316,fear,Wonder how almost a whole week at home will feel  
317,fear,i'm discovering a band i missed from 15 years ago... wishing i hadn't been so sheltered growing up. 
318,sadness,She looked into his eyes and saw terrible pain and inconsolable grief . 
319,surprise,Some things can ruin your day real quick 
320,fear,"you shouldn't domestic drones anyway. who ever heard of a drone attacking the wrong target? no one ever, that's who."
321,joy,"I'm sure ill be sick next, these babies keep coughing &amp; sneezing on me.. "
322,anger,"I just want to sleep, I'm in a bad mood right now. #Sadness"
323,surprise,@Mr_RICH_Tycoon GOOD- we had family pictures that was whats up...all the kids for their grammy u know can't wait
324,fear,"@tomharris5 I was goin to bring it, do u want it at corners coz u want it at the end of today then? #nomistakestoday #3morepoints"
325,neutral, Which guy ? 
326,joy,sore throat &amp
327,surprise,Amir had his first comment at Valiant today!!  
328,fear,"His voice was tetchy , but not alarmed . "
329,sadness,My friend was badly hurt.
330,joy,When my child was born.
331,joy,"` I 'm delighted they left you the house , "" Julia told Margaret . "
332,surprise,Cherche  de  pour  pour ce samedi soir !!!! &#xA
333,fear,"“@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less”"
334,surprise,not a good idea to smoke before you narrate and act out a poem in class.. 
335,sadness,I honestly spent wayyy too much money. Im such an impulse buyer....
336,disgust, Newsnight. it is making me SICK hearing these rioters justifying their actions 
337,anger,The surname of my brother was different from ours.  He often grinned at home and provoked others for the pleasure of it.  This made me angry.
338,anger,A teacher at my former secondary school forced my darling to marry him.  The girl tried to refuse but her parents would not leave her alone.
339,anger,I came home one day and discovered that my sister had borrowed my car and had gotten into an accident with it. My entire front bumper was destroyed.
340,anger,"Unfair and unjust attitude toward a person close to me, what I was the witness of, caused anger in me."
341,shame,""" What 's this , playing infant games still ? "" he demanded , and was gratified to see the flush of embarrassment in Tristram 's cheek . "
342,fear,Leo demanded as he wrenched back to stare down into her almost terror-stricken face . 
343,joy,"Letting Jesus take control of my emotions i.e., ill feeling."
344,joy,my garage is full of a bunch of drunk people 
345,fear,I have received no representations on that matter and I am not aware of any disquiet among the groups that the hon. Gentleman described . 
346,joy,God clearly heard me when I asked Him yesterday to surprise me this week! Grabe talaga love Niya. Im in tears! :&quot
347,joy,"It was Saturday, my duties were over for a few hours and I could at last be with the people I wanted to see."
348,surprise,@LizzieMMoreno in the real world rapist don't use lube 
349,sadness,When realizing that my girlfriend and myself in fact had started the process of breaking up.
350,sadness,"A despondent Renault worker remarked , ` It seems to me that we came very close to something new . "" "
351,sadness,Just received a brand new  but it seems to hate my SIM card.   support tells me they don't know whats wrong :( 
352,joy,"I officially hate you, i guess. "
353,fear,@sachaLan Free Expression As Revolution 
354,joy,"Started my day with building a snowman, taking pictures of the freshly fallen snow, Michael Buble &amp; a cup of tea.  "
355,sadness," Oh , my computer crashed again ! "
356,sadness, it was horrible ! It was just one thing after another . 
357,anger,ooh look at me i keep copy and pasting jokes off websites because i'm a dick. 
358,sadness,A little bit of soap entered to my eye when I was taking a bath. :(
359,anger,fuck going to school if it means i have to look at your face! 
360,joy,3 hour drive to the airport. Wait in the airport for 2 hours then 3 hour plane ride. Followed by a hour drive home. #howilovetraveling
361,anger,"mau diet curcol di twitter pasti gagal  yg tadi makan dikondangan,sekarang makan pecel lele #LOL ancur sudah diet ku #LOL"
362,joy,Eating everything in my kitchen...hm must be that time on month again :/ 
363,fear,He was concerned that the room must be left just as Durance would have wished . 
364,joy,Great concert w @AVALONtheGroup tonight. Amazing crowd!!! See ya'll again tomorrow night! 
365,joy,Looking forward to doing nothing this weekend apart from working @TheBodyShopUK 
366,joy,But some of the younger dons were ecstatic about the election . 
367,joy,@2FBS Tis down here. Worst city in NZ for it. Grass seed atm. Howling NE'er blowing it into the air. In Jan it'll be pine pollen 
368,sadness,@inasar paris is a dream land!must be cold there.its almost mid of november AND ITS SO NOT COLD HERE! weather is still the same :-( 
369,sadness," I know that , mom . But sometimes I'm just sad . "
370,anger,"My Mum is so stingy that she put water in my Bacardi and coke, Just to save Barcadi. "
